1,X367,X367,X,5,Davidson Park,,,,0.258,,,0,,14,10453,205,DPR,77,29,15,46,,,X,Davidson Ave. bet. W 176 St. and W. 177 St.
2,B595,B595,B,1,Greenpoint Landing,,,,0.563,,,0,,33,11222,301,DPR,50,18,12,,,,B,Commercial St. bet. Franklin St. and Clay St.
3,XU001,XU001,X,9,,,Chatterton Ave. at Zegra Ave.. Cross Bronx Expressway to Westchester Creek,Chatterton Ave. At Zegra Ave.. Cross Bronx Expressway To Westchester Creek,0,Property,,0,,13,10462,209,-,31,10,5,43,0,X-09,B,"Chatterton Ave. at Zegra Ave.,Cross Bronx Expressway to Westchester Creek"
4,Q162G10,Q162G10,Q,14,PARK STRIP,,BOARDWALK BET BEACH 44-45 STS,Boardwalk Bet Beach 44-45 Sts,0,Other,STRIP,0,Beach,31,11691,414,-,23,15,5,101,0,Q-14,Q,Rockaway Boardwalk bet. B. 45 St and B. 44 St.
5,,BU001,,,,,,,,,,,,,,,,,,,,,,,
6,Q162D,Q162D,Q,14,PARKING LOT,,BOARDWALK & BEACH 63 ST,Boardwalk & Beach 63 St,0,Other,Parking Lot,0,Beach,31,11692,414,-,23,15,5,100,0,Q-14,Q,Roackaway Boardwalk bet. B 63 St. and B 62 St.
7,X290,X290,X,2,Longfellow Playground,,"LONGFELLOW AVE, LOWELL ST, E.165TH ST","Longfellow Ave, Lowell St, E.165th St",0.367,Small Park,Neighborhood Plgd,0,Pending,17,10459,202,DPR,85,32,15,41,0,X-02,X,"Longfellow Ave., Lowell St., E. 165 St."
8,X137,X137,X,7,JEROME PARK,,Goulden Ave and W 205th St,Goulden Ave and W 205th St,4.359,Small Park,Neighborhood Park,1,,11,10468,208,DPR,81,34,13,50,0,X-07,X,Goulden Av bet. W 205 St and Sedgwick Av
9,Q004A,Q004A,Q,1,RALPH DEMARCO PARK,,SHORE BLVD & @0th Rd,Shore Blvd & 20th Rd,5.82,Small Park,Neighborhood Park,1,,22,11105,401,DPR,36,"12, 13",14,114,0,Q-01,Q,Shore Blvd. bet. Ditmars Blvd. and 20 Ave.
10,Q162G04,Q162G04,Q,14,PLAYGROUND,,"BOARDWALK, BET BEACH 48 ST & BEACH 48 WAY","Boardwalk, Bet Beach 48 St & Beach 48 Way",0,Small Park,Neighborhood Plgd,0,NOTHING PRESENT EXCEPT BOARDWALK AND EMPTY LOTS USED FOR DUMPING. 4/02 -AT,31,11691,414,-,23,15,5,101,0,Q-14,Q,Rockaway Boardwalk bet. B. 48 St and B. 48 Way
11,Q471,Q471-ZN02,Q,2,Hunter's Point South Park,,"East River, 50th Ave to Newtown Creek","East River, 54th Ave to Newtown Creek",,Large Park,Large Park Zone,0,Pending,26,11101,402,,37,12,12,108,0,,Q,
12,MZ471,MZ471,M,12,Sherman Creek Waterfront Parks,,W 206 St & Harlem River,W 206 St & Harlem River,,Greenstreet,Type 1,0,Pending,10,10034,112,,72,31,13,34,,,M,W 206 St & Harlem River
13,Q471,Q471-01,Q,2,Hunter's Point South Park,,"East River, 50th Ave to Newtown Creek",Center Blvd btw 51st Ave and Borden Ave,,Small Park,Plgd Within Park,1,,26,11101,402,,37,12,12,108,0,,Q,
14,Q471,Q471-ZN01,Q,2,Hunter's Point South Park,,"East River, 50th Ave to Newtown Creek","East River, 50th Ave and 54th Ave",,Large Park,Large Park Zone,1,Pending,26,11101,402,,37,12,12,108,1,,Q,
15,BZ74,BZ74,B,18,GREENSTREET,,"Paerdegat Ave S, RALPH AVENUE, FLATLANDS AVENUE","Paerdegat Ave S, Ralph Avenue, Flatlands Avenue",0.02,Greenstreet,Type 1,1,,46,11234,318,DOT,59,21,8,63,0,,B,"Paerd Street, Ralph Avenue, Flatlands Av"
16,X191C,X191C,X,10,PARK STRIP (ARTERIAL BARRIER),,LONGSTREET AVE TO US BULKHEAD LINE,Longstreet Ave To Us Bulkhead Line,0,Small Park,Other,0,tiny strip used as zone barrier. 4/02 -AT,13,10465,210,-,82,34,14,45,0,X-10,X,Longstreet Ave. - US Bulkhead Line
17,B080,B080-01,B,13,ASSER LEVY PARK & AQUARIUM,,"BOARDWALK, SURF, SEA BREEZE AVES, OCEAN PKWY",Surf Ave & 5 St,0.518,Small Park,Plgd Within Park,1,,48,11224,313,DPR,46,23,8,60,0,,B,Surf Ave & 5 St
18,Q162G06,Q162G06,Q,14,PARK STRIP,,BOARDWALK BE BEACH 47 ST & BEACH 47 WAY,Boardwalk Bet Beach 47 St & Beach 47 Way,0,Other,STRIP,0,Beach,31,11691,414,-,23,15,5,101,0,Q-14,Q,Rockaway Boardwalk bet. B. 47 St and B. 47 Way
19,MZ470,MZ470,M,12,Sherman Creek Waterfront Parks,,W 205 St & Harlem River,W 205 St & Harlem River,,Greenstreet,Type 1,0,Pending,10,10034,112,,72,31,13,34,,,M,W 205 St & Harlem River
20,MZ469,MZ469,M,12,Sherman Creek Waterfront Parks,,W 204 St & Harlem River,W 204 St & Harlem River,,Greenstreet,Type 1,0,Pending,10,10034,112,,72,31,13,34,,,M,W 204 St & Harlem River
21,M060B,M060B,M,6,Park Avenue Malls,,E 34 TO E 39 STS & PARK AVE,E 34 To E 39 Sts & Park Ave,0.65,Small Park,Sitting Area/Triangle/Mall,0,Pending,"2,4",10016,106,DPR,"75, 73",28,12,17,0,M-05,M,E 34 St To E 39 St and Park Av
22,Q083,Q083,Q,5,INTERBORO PARKWAY,,Highland Blvd To Gcp & Queens Blvd,Highland Blvd To Gcp & Queens Blvd,72.75,Other,EXWY,0,,"29,30,37","11207, 11375, 11385, 11415","304, 305, 405, 406",DPR/CDOT,"28, 38, 54","12, 15, 18","6, 7",83,0,Q-05,Q,"Jackie Robinson Parkway bet. Bushwick Ave. and Markwood Pl., Park La."
