,,,,,Date,,,,,,,,,,,,,,
BZ309,5,122406,Spring,5,4/30/2019 0:00,11:38 AM,11:44 AM,2019,1,,A,A,,,0,,,PIP,
B245-02,8,122420,Spring,5,4/30/2019 0:00,11:19 AM,11:48 AM,2019,18,,A,A,,,2,,,PIP,
B149A,5,122405,Spring,5,4/30/2019 0:00,11:15 AM,11:33 AM,2019,1,,A,A,,,0,,,PIP,
Q177,10,122416,Spring,5,4/30/2019 0:00,12:33 PM,12:46 PM,2019,11,,A,A,,,0,,,PIP,
M089-01,5,122422,Spring,5,4/30/2019 0:00,11:35 AM,12:05 PM,2019,58,,A,A,,,,,,PIP,
B073-ZN16,19,122412,Spring,5,4/30/2019 0:00,10:50 AM,11:59 AM,2019,57,,A,A,,,65,,,PIP,
BZ24,5,122404,Spring,5,4/30/2019 0:00,11:05 AM,11:09 AM,2019,1,,A,A,,,0,,,PIP,
Q440,12,122414,Spring,5,4/30/2019 0:00,11:08 AM,11:26 AM,2019,11,,U,U,,,0,,,PIP,
B073-ZN06,19,122400,Spring,5,4/30/2019 0:00,10:12 AM,10:45 AM,2019,57,,A,A,,,45,,,PIP,
M010-ZN37,13,122395,Spring,5,4/30/2019 0:00,10:00 AM,11:05 AM,2019,15,,A,A,,,55,,BFs closed at time of inspection; dugout fencing and benches not rated.,PIP,
R065-ZN10B,2,122401,Spring,5,4/30/2019 0:00,11:30 AM,12:30 PM,2019,16,,A,A,,,1,,,PIP,
QT08,9,122418,Spring,5,4/30/2019 0:00,1:35 PM,1:42 PM,2019,11,,A,A,,,3,,,PIP,
B366,5,122403,Spring,5,4/30/2019 0:00,10:51 AM,11:00 AM,2019,1,,U,A,,,0,,,PIP,
XZ190,13,122396,Spring,5,4/30/2019 0:00,9:25 AM,9:30 AM,2019,3,,A,A,,,,,,PIP,
B029-ZN06,8,122398,Spring,5,4/30/2019 0:00,10:13 AM,11:07 AM,2019,18,,A,A,,,20,,,PIP,
X092-ZN20,13,122397,Spring,5,4/30/2019 0:00,9:40 AM,11:15 AM,2019,3,,A,A,,,4,,,PIP,
B012-03,8,122419,Spring,5,4/30/2019 0:00,12:29 PM,12:59 PM,2019,18,,U,A,,,1,,,PIP,
Q206,9,122417,Spring,5,4/30/2019 0:00,1:19 PM,1:25 PM,2019,11,,A,A,,,0,,,PIP,
B078,5,122402,Spring,5,4/30/2019 0:00,10:15 AM,10:42 AM,2019,1,,A,A,,,3,,,PIP,
MZ306,3,122408,Spring,5,4/30/2019 0:00,9:15 AM,9:35 AM,2019,58,,A,A,,,,,,PIP,
Q408,10,122415,Spring,5,4/30/2019 0:00,11:49 AM,12:11 PM,2019,11,,A,A,,,1,,,PIP,
MZ126,3,122409,Spring,5,4/30/2019 0:00,9:39 AM,9:50 AM,2019,58,,A,A,,,,,,PIP,
R075A,2,122399,Spring,5,4/30/2019 0:00,10:35 AM,11:00 AM,2019,16,,A,A,,,3,,,PIP,
M010-ZN01,13,122394,Spring,5,4/30/2019 0:00,8:55 AM,9:50 AM,2019,15,,U,U,,,105,Partial Constr./Rest of Site Rated.,Construction around front of Arsenal bldg; small area not rated.,PIP,
M257,4,122411,Spring,5,4/30/2019 0:00,10:35 AM,10:53 AM,2019,58,,A,A,,,,Under Construction.,"rated SW,Fences ,TREES",PIP,
M011,4,122413,Spring,5,4/30/2019 0:00,10:55 AM,11:25 AM,2019,58,,A,A,,,,,BBCT was Cautioned off by staff on all sides due to unknown reason,PIP,
X045-ZN03,1,122410,Spring,5,4/30/2019 0:00,11:53 AM,1:13 PM,2019,59,,A,A,,,9,,,PIP,
B012-02,8,122407,Spring,5,4/30/2019 0:00,11:57 AM,12:27 PM,2019,18,,A,A,,,19,,,PIP,
X283,5,122392,Spring,5,4/29/2019 0:00,11:25 AM,11:35 AM,2019,16,,A,A,,,1,,,PIP,
X023,1,122375,Spring,5,4/29/2019 0:00,10:00 AM,10:10 AM,2019,18,,A,A,,,3,,,PIP,
Q205B,2,122378,Spring,5,4/29/2019 0:00,11:20 AM,11:35 AM,2019,15,,A,A,,,5,,,PIP,
M030,1,122366,Spring,5,4/29/2019 0:00,10:49 AM,11:17 AM,2019,57,,A,A,,,45,,,PIP,
MT09,2,122365,Spring,5,4/29/2019 0:00,12:08 PM,12:19 PM,2019,57,,A,A,,,10,,,PIP,
Q029,4,122368,Spring,5,4/29/2019 0:00,10:00 AM,10:10 AM,2019,15,,A,A,,,5,,,PIP,
X148C3,4,122383,Spring,5,4/29/2019 0:00,10:40 AM,10:50 AM,2019,16,,A,A,,,7,,,PIP,
B291,18,122389,Spring,5,4/29/2019 0:00,12:43 PM,1:15 PM,2019,59,,A,A,,,11,,,PIP,
B397,16,122380,Spring,5,4/29/2019 0:00,10:25 AM,10:45 AM,2019,3,,U,U,,,0,,,PIP,
B121,9,122369,Spring,5,4/29/2019 0:00,11:30 AM,11:45 AM,2019,3,,A,A,,,0,,,PIP,
B206,18,122388,Spring,5,4/29/2019 0:00,12:18 PM,12:34 PM,2019,59,,A,A,,,2,,,PIP,
X287,4,122385,Spring,5,4/29/2019 0:00,10:55 AM,11:05 AM,2019,16,,A,A,,,0,,,PIP,
B248,18,122387,Spring,5,4/29/2019 0:00,11:19 AM,11:59 AM,2019,59,,U,A,,,47,,,PIP,
BZ51,16,122373,Spring,5,4/29/2019 0:00,11:15 AM,11:20 AM,2019,3,,A,A,,,,,,PIP,
Q303,3,122371,Spring,5,4/29/2019 0:00,10:20 AM,10:40 AM,2019,15,,A,A,,,35,Partial Constr./Rest of Site Rated.,Construction around courts and large south lawn; some areas not rated.,PIP,
X015,2,122382,Spring,5,4/29/2019 0:00,11:17 AM,11:47 AM,2019,18,,A,A,,,3,,,PIP,
X043,1,122367,Spring,5,4/29/2019 0:00,10:15 AM,10:25 AM,2019,18,,A,A,,,2,,,PIP,
X228,1,122364,Spring,5,4/29/2019 0:00,10:31 AM,10:51 AM,2019,18,,A,A,,,0,,,PIP,
XZ21,2,122384,Spring,5,4/29/2019 0:00,10:59 AM,11:07 AM,2019,18,,A,A,,,0,,,PIP,
BZ50,16,122372,Spring,5,4/29/2019 0:00,11:00 AM,11:05 AM,2019,3,,A,A,,,,,,PIP,
X148A3,4,122391,Spring,5,4/29/2019 0:00,11:10 AM,11:20 AM,2019,16,,A,A,,,0,,,PIP,
M255,3,122390,Spring,5,4/29/2019 0:00,11:28 AM,11:34 AM,2019,57,,A,A,,,4,,,PIP,
M015,1,122393,Spring,5,4/29/2019 0:00,10:05 AM,10:39 AM,2019,57,,A,A,,,65,Partial Constr./Rest of Site Rated.,Along path adj CS ( brick).,PIP,
B305,18,122386,Spring,5,4/29/2019 0:00,10:12 AM,10:53 AM,2019,59,,A,A,,,0,,,PIP,
M125D,2,122376,Spring,5,4/29/2019 0:00,12:20 PM,12:25 PM,2019,57,,A,A,,,0,,,PIP,
